INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('272', '5', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('472', '1', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('495', '4', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('103', '5', '1', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('132', '2', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('140', '1', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('203', '1', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('207', '3', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('223', '5', '4', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('230', '4', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('233', '4', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('286', '2', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('301', '2', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('304', '4', '1', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('306', '1', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('317', '4', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('341', '5', '4', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('347', '3', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('355', '5', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('362', '5', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('371', '4', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('376', '1', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('380', '1', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('382', '1', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('383', '2', '1', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('385', '2', '1', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('386', '2', '5', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('404', '5', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('410', '4', '2', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2018', 'Fall');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('423', '5', '1', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('481', '3', '4', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('490', '4', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('491', '5', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
INSERT INTO `ratemyclass`.`Reviews` (`Class_id`, `Difficulty_rating`, `knowledge_gain_rating`, `review`, `Username`, `Review_year`, `Review_semester`) VALUES ('497', '1', '3', 'Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.', 't6', '2017', 'Spring');
